#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
209,Common Room (HDB) for Rent in 588A Ang Mo Kio Street 52,1000,120,2011,HDB,Ang Mo Kio Street 52,426,Everyone Welcome,1,0,Yes,,,
210,Master Room (HDB) for Rent in 686A Choa Chu Kang Crescent,1440,200,-,HDB,Choa Chu Kang Crescent,760,Everyone Welcome,1,1,Yes,,,
211,Master Room (Condo) for Rent in Public Mansions / Public Mansion,1750,180,1974,Condo,Public Mansions,684,Everyone Welcome,1,1,Yes,,,
212,126D Canberra Street,900,100,2019,HDB,126D Canberra Street,686,Everyone Welcome,1,0,Yes,,,
213,530 Bedok North Street 3,1200,1200,-,HDB,530 Bedok North Street 3,663,Everyone Welcome,1,1,Yes,,,
214,441 Jurong West Avenue 1,850,200,-,HDB,441 Jurong West Avenue 1,759,Everyone Welcome,1,0,Yes,,,
215,467 Tampines Street 44,1100,224,-,HDB,467 Tampines Street 44,381,Everyone Welcome,1,1,Yes,,,
216,34 Eunos Crescent,1200,85,2007,HDB,34 Eunos Crescent,256,Everyone Welcome,1,0,Yes,,,
217,288C Compassvale Crescent,1100,150,2017,HDB,288C Compassvale Crescent,484,Everyone Welcome,1,0,Yes,,,
218,713 Yishun Street 71,550,250,1984,HDB,713 Yishun Street 71,870,Everyone Welcome,1,0,Yes,,,
219,101D Punggol Field,975,120,-,HDB,101D Punggol Field,93,Everyone Welcome,1,0,Yes,,,
220,209 Yishun Street 21,890,130,1985,HDB,209 Yishun Street 21,352,Everyone Welcome,1,0,Yes,,,
221,730 Jurong West Street 72,1200,150,-,HDB,730 Jurong West Street 72,242,Everyone Welcome,1,0,Yes,,,
222,229 Bukit Batok East Avenue 3,1500,143,-,HDB,229 Bukit Batok East Avenue 3,572,Everyone Welcome,1,1,Yes,,,
223,526 Hougang Avenue 6,950,125,1999,HDB,526 Hougang Avenue 6,410,Everyone Welcome,1,0,Yes,,,
